CODIGO ACAO;NOME ACAO;2010;2011;2012;2013;2014;2015
47700000;INTEGRACAO MUNIC.SIST. AGRIC.ABASTECIMENTO;1115000,0;0,0;4619000,0;0,0;1040000,0;0
46240000;LINHAS METROVIARIAS-RESSARCIMENTO GRATUIDADES;0,0;0,0;0,0;0,0;2777412,0;0
14790000;LINHAS DA CPTM-ADAPTACAO PARA ACESSIBILIDADE;17957743,26;2005399,3599999999;618624,29;95504,79;0;0
61440000;PROVISAO POSTOS TRABALHO P/ CUSTODIADOS;0;0;0;0,0;2590186,68;0
58360000;APERF.FORMACAO CONT.PROCURADORES E SERVIDORES;369171,26999999996;87783,23;287183,86;182358,18;211255,06;0
60040000;LIBERDADE ASSISTIDA;0;0,0;1776030,0;1713511,05;1800584,7;1891537,15
56370000;APOIO TECNICO AS PPP'S E OUTRAS PARCERIAS;0;0;0;0;0;32157,0
24670000;FIN.ACOES BACIA BAIXADA SANTISTA REC USO AGUA;0;0;0;0,0;0,0;0
23250000;IMPLANTACAO DO EXPRESSO ABC;0;0;0,0;482351,78;427400,36;159637,78
57300000;CATAVENTO;0,0;0,0;0;0;0;0
51000000;MANUTENCAO DE BIBLIOTECA E DOCUMENTACAO;0,0;0;0;0;0;0
54400000;APOIO TECNICO-ADMINISTRATIVO;0,0;0,0;0,0;0;0;0
12930000;OBRAS INSTAL.UNID.POLICIA TECNICO-CIENTIFICA;912893,29;0,0;428905,00000000006;0,0;7160261,720000001;3697563,0800000005
19910000;EQUALIZACAO TAXAS JUROS FINAN. INCENTIVADOS;0;0;0,0;3600000,0;6128509,67;733137,02
55330000;ADMINISTRACAO DO PATRIMONIO IMOBILIARIO;0;0;0;0;0;229079,82
56420000;INTELIGENCIA POLICIAL;86948201,66000007;97934593,97000001;107505659,17999995;111511646,65000002;100607777,36000001;41027688,470000006
57500000;AVALIACAO DO RENDIMENTO ESCOLAR;6937056,399999999;13739925,35;16941307,96;11139795,48;10189800,0;0
58010000;FUNCIONAMENTO DO CONSELHO EST.SAUDE-CES;0;0;0,0;132,76;139,46;0
49040000;RECUPERACAO/PAVIMENTACAO ADM DIRETA;0;0;0;0;0;1929668,7400000002
57450000;ATENDIMENTO A JOVENS E ADULTOS NA EDUCACAO;0,0;0,0;3428582,97;2467196,47;882413,53;0
61460000;SUPORTE ADMINISTRATIVO E FORMACAO DO SERVIDOR;0;0;0;0,0;26672104,430000022;0
54740000;SISTEMAS  ACOMP.ANALISE REG.METROPOLITANAS;0,0;0,0;0;0;0;0
25170000;FINANC.ACOES UGRHI SERRA MANTIQUEIRA-USO AGUA;0;0;0;0;0;0,0
55320000;ATEND.AMB.HOSP.SERV.CONTR./CONV.GEST.ESTADUAL;0,0;6669342,54;33065232,899999995;11455712,280000001;52295591,089999996;63660419,980000004
61700000;REMUN.E ENC.DOS PROF.MAG. ED.BAS.FUNDEB;0;0;0;0;0,0;1053561051,6299995
