CODIGO CATEGORIA DE DESPESA;NOME CATEGORIA DE DESPESA;2010;2011;2012;2013;2014;2015
3;DESPESAS CORRENTES;9728443543,590816;10577117210,221062;14132628568,061092;14010103905,9701;20982730686,750084;15171933415,710093
4;DESPESAS DE CAPITAL;5340233457,629994;4189376979,590006;7305195880,609998;6337303910,690009;6447842565,989989;3473289610,7799973
