CODIGO SUBFUNCAO;NOME SUBFUNCAO;2010;2011;2012;2013;2014;2015
124;CONTROLE INTERNO;797001,3200000001;2550079,8;3833850,25;2377561,98;2410289,07;2096317,9100000001
693;COMERCIO EXTERIOR;0,0;366646,0;0;0;0;0
451;INFRAESTRUTURA URBANA;36635590,55000003;29286692,309999984;17153805,339999996;14968665,649999997;19770423,659999996;27910751,790000003
541;PRESERVACAO E CONSERVACAO AMBIENTAL;68832475,62000006;32098236,990000017;43432583,25000002;60928285,940000005;98203626,56000003;55748130,74000002
305;VIGILANCIA EPIDEMIOLOGICA;9843416,57999999;9568421,600000005;13084183,159999996;15773047,189999998;20928760,400000006;30255479,84000001
691;PROMOCAO COMERCIAL;0;0;0;0,0;623073,12;0
692;COMERCIALIZACAO;0;0;0,0;4086234,61;10365929,130000003;9718181,430000003
573;DIFUSAO DO CONHECIMENTO CIENT.E TECNOLOGICO;877192,6900000002;1028350,8099999999;1416824,4399999995;2342364,400000001;3717033,96;2175996,4899999993
571;DESENVOLVIMENTO CIENTIFICO;32044073,759999998;37833918,699999996;40128044,08000001;43079295,450000025;90431510,12999994;93142820,86000003
847;TRANSFERENCIAS PARA A EDUCACAO BASICA;0;0,0;0,0;0,0;0,0;0,0
811;DESPORTO DE RENDIMENTO;2364502,59;3425747,7800000003;3498377,07;5384554,98;4472621,15;95371181,99000001
91;DEFESA DA ORDEM JURIDICA;13810887,010000002;4124583,039999999;27950464,760000005;9660912,229999999;9011588,52;3698868,92
784;TRANSPORTE HIDROVIARIO;6369543,64;4733456,14;30118820,82999999;143968003,15999997;65585625,96000001;72259325,0
272;PREVIDENCIA DO REGIME ESTATUTARIO;1493079079,1600003;276936277,29;334685349,61999995;395432674,89000005;2804589673,1699996;2059658121,5100002
542;CONTROLE AMBIENTAL;10819132,870000001;24943333,159999996;21278777,360000003;6140457,53;8698380,990000002;40738657,54000001
333;EMPREGABILIDADE;59130151,66999999;44788112,919999994;25940538,780000005;4695848,950000001;9539722,64;9095310,059999999
303;SUPORTE PROFILATICO E TERAPEUTICO;84426962,59999998;43818762,820000015;44511332,17999998;259310694,10000032;334133334,50000024;221776943,02999958
368;EDUCACAO BASICA;0;0;0,0;2482325777,629999;2625110372,2499976;1634274661,580001
-999;-999;4094,18;2000,0;10066,0;2568602,03;0;0
244;ASSISTENCIA COMUNITARIA;67383741,82000002;73869463,67999993;104996956,85999997;149772031,94999984;85312685,45999992;41446059,43000004
332;RELACOES DE TRABALHO;1432524,0899999999;1553368,5500000003;1452309,41;1322458,96;1350036,32;29440,0
845;OUTRAS TRANSFERENCIAS;576922,14;406386,7;236471,81;3821666,59;6356682,33;1426944,1600000001
846;OUTROS ENCARGOS ESPECIAIS;237352534,06;955968779,3100001;852718725,6900004;483731195,46999997;148140934,29;107861527,55999999
366;EDUCACAO DE JOVENS E ADULTOS;264450,88;0,0;8288256,790000001;5075130,87;8435600,91;606420,24
453;TRANSPORTES COLETIVOS URBANOS;709851681,2299998;1083297406,12;1138735958,9999995;1276090919,3399997;1105898181,7600002;306799787,62000006
423;ASSISTENCIA AOS POVOS INDIGENAS;0,0;0,0;0;0;0;0
363;ENSINO PROFISSIONAL;288173050,78000003;331331823,6300005;340152912,82000023;219363559,3799998;443995081,53000003;284887848,04000014
