CODIGO CATEGORIA DE DESPESA;NOME CATEGORIA DE DESPESA;2010;2011;2012;2013;2014;2015
3;DESPESAS CORRENTES;113560816248,16858;125717490200,60141;142031850349,04492;154962277063,38565;170159543598,94858;182885834799,44882
4;DESPESAS DE CAPITAL;15482927637,339937;10123267171,679926;10606116875,35995;16201497317,169914;20549500759,649944;18050219648,27988
