CODIGO SUBFUNCAO;NOME SUBFUNCAO;2010;2011;2012;2013;2014;2015
183;INFORMACAO E INTELIGENCIA;102565538,38000003;155824127,64000016;133668228,3599999;177057323,29999992;247559680,40000007;272200373,25000006
301;ATENCAO BASICA;55779571,990000024;78197844,07999994;172941268,56000006;260635420,74999872;387962515,59999985;481474823,86999995
124;CONTROLE INTERNO;17087350,760000005;19393708,66;20263646,390000004;18840574,58;22703567,080000013;25540577,670000006
693;COMERCIO EXTERIOR;510581,0;39394,0;0;0;0;0
451;INFRAESTRUTURA URBANA;24084623,360000003;15337014,68;2510222,6000000006;30175,68;2808556,9199999995;48236511,61
541;PRESERVACAO E CONSERVACAO AMBIENTAL;262338250,43000036;301611348,3100012;214730233,57999927;245697547,7299994;276995869,0700005;389421992,39000034
305;VIGILANCIA EPIDEMIOLOGICA;52046577,55;51349705,99999994;55076715,34000005;61215029,58000009;77991977,4500001;78977601,56
691;PROMOCAO COMERCIAL;0;0;0;0,0;0,0;0
692;COMERCIALIZACAO;0;0;15667254,010000002;26799081,82;35292985,379999995;44568059,49999997
573;DIFUSAO DO CONHECIMENTO CIENT.E TECNOLOGICO;6860142,019999998;7451781,950000001;10539528,199999996;14689966,629999988;15687472,549999997;11316664,000000002
571;DESENVOLVIMENTO CIENTIFICO;829744627,9800006;987398206,6500009;1128772710,0200016;1194893777,070001;1173856560,3600006;1876889238,569999
847;TRANSFERENCIAS PARA A EDUCACAO BASICA;0;3356398422,38;4003247982,3799996;4384057702,63;4541051340,94;5220794388,21
811;DESPORTO DE RENDIMENTO;35539008,81999999;54374074,930000015;64364619,74;70837526,67999999;177972948,55000004;97974099,30000001
91;DEFESA DA ORDEM JURIDICA;8361264,75;11829337,56;11071623,220000004;7435133,72;4927107,800000001;12776469,969999999
784;TRANSPORTE HIDROVIARIO;11333129,120000008;13686118,169999992;19166004,89;15961809,759999998;97758532,31000008;62699824,09999998
272;PREVIDENCIA DO REGIME ESTATUTARIO;15006777086,490005;17172282455,499998;20550636751,2;20449365957,249996;23295463183,489998;24766999589,809998
542;CONTROLE AMBIENTAL;270848945,8500011;255205470,88000053;293257181,60000026;286906826,1600005;389425595,9500036;310898239,88999945
333;EMPREGABILIDADE;83549626,4799999;59915495,45000002;33219939,2;41460897,73000001;48261572,16000003;53735417,42999997
303;SUPORTE PROFILATICO E TERAPEUTICO;434908494,58999956;480120554,48999864;1415520708,389993;1321259059,270005;1694044979,9300046;1450264030,7899997
368;EDUCACAO BASICA;0;0;9670738649,399954;11948328178,399971;15843641068,739801;15498060099,830038
244;ASSISTENCIA COMUNITARIA;465078737,8000002;490978957,42999995;499325725,4600002;527110585,98999906;751940695,7400026;642399392,1100019
332;RELACOES DE TRABALHO;3970125,6900000004;2919261,1999999997;2650885,44;2615694,4699999997;2888322,87;2942250,57
845;OUTRAS TRANSFERENCIAS;27831762049,050007;30813450584,999996;33004816903,590004;36576064581,810005;37457828563,24002;38784813545,78
846;OUTROS ENCARGOS ESPECIAIS;915755805,649999;1819076413,5300002;2299819960,6500015;2393200208,61;2657517915,789998;3119669929,369998
366;EDUCACAO DE JOVENS E ADULTOS;11918456,01;8463732,0;20377330,23;20386382,78;29759826,45;14281260,759999998
453;TRANSPORTES COLETIVOS URBANOS;1959982680,0500002;1116457929,1900003;1457894673,17;2926248298,2200003;4482363624,870001;4269907639,4099994
423;ASSISTENCIA AOS POVOS INDIGENAS;0,0;0,0;0;0;0;0
363;ENSINO PROFISSIONAL;734997049,0599985;869862288,1199998;1019365398,7500008;1230956041,9500015;1272601945,5200016;1019689498,4100009
754;BIOCOMBUSTIVEIS;0;0;0;0,0;0,0;0,0
