CODIGO SUBFUNCAO;NOME SUBFUNCAO;2010;2011;2012;2013;2014;2015
301;ATENCAO BASICA;57730765,370000035;79981901,82999997;185469129,51000002;272193209,6799991;425989192,1899998;547031674,8499998
124;CONTROLE INTERNO;19641403,27000002;23236164,560000002;22647886,970000003;21252822,649999987;24799884,990000024;27261651,339999992
693;COMERCIO EXTERIOR;877227,0;39394,0;0;0;0;0
451;INFRAESTRUTURA URBANA;43756144,33;15458447,0;23081543,25000001;33802558,669999994;21130519,480000004;49386234,839999996
541;PRESERVACAO E CONSERVACAO AMBIENTAL;297004310,9000004;358007947,15000063;295979525,3100004;380464295,09000015;312529127,4599998;471499847,8700004
305;VIGILANCIA EPIDEMIOLOGICA;61615464,05999994;64605796,59999997;71364073,18999994;83955683,07000001;110132439,19000015;105545838,05000007
691;PROMOCAO COMERCIAL;0;0;0;1390000,0;0,0;0
692;COMERCIALIZACAO;0;0;21039262,52000001;38106540,860000014;45283802,24999999;58679646,86
573;DIFUSAO DO CONHECIMENTO CIENT.E TECNOLOGICO;7939308,05;8961749,969999999;13678708,949999994;18483917,429999996;17911445,94000001;12195770,960000005
571;DESENVOLVIMENTO CIENTIFICO;868493279,2500005;1027720912,4700001;1171897871,2800012;1285596544,5500011;1266957718,1599996;1997919628,7499988
847;TRANSFERENCIAS PARA A EDUCACAO BASICA;0;3356398422,38;4003247982,3799996;4384057702,63;4541051340,94;5220794388,21
811;DESPORTO DE RENDIMENTO;40251779,249999985;60184910,92;70665730,03;76683571,19000001;284316653,8600001;169232113,17999998
91;DEFESA DA ORDEM JURIDICA;13052993,24;42477389,010000005;19855700,38;16545296,810000002;9375967,490000002;42890688,720000006
784;TRANSPORTE HIDROVIARIO;22232386,459999997;176544922,52000004;46418795,35;91384819,86;193121013,76999998;106011057,62000003
272;PREVIDENCIA DO REGIME ESTATUTARIO;15293862404,520004;17507603375,289997;20947627431,800003;23129278741,479992;25355122020,929996;28065808355,4
542;CONTROLE AMBIENTAL;297467779,67000103;279181071,4700007;303958329,5000001;302206267,65000135;436604743,2400039;333664943,2499997
333;EMPREGABILIDADE;132202282,59999992;91599003,03999998;39527063,77;56770007,84999995;57671254,67000002;56699186,71999996
303;SUPORTE PROFILATICO E TERAPEUTICO;480890108,32000005;529835349,2699979;1678581194,059984;1659941897,0100024;1922957425,590007;1896027912,1900115
368;EDUCACAO BASICA;0;0;12458568650,359953;14728071063,279902;17360174255,6098;16958789150,88012
244;ASSISTENCIA COMUNITARIA;588035250,0100003;638349458,9200001;696300866,2499996;634651470,4;784883205,6700021;714784167,8200047
332;RELACOES DE TRABALHO;5523525,38;4410417,879999999;4041629,44;3978378,5399999996;2918643,1399999997;3636679,46
845;OUTRAS TRANSFERENCIAS;27832168435,78001;30813687056,859997;33008638570,180008;36588928201,33;37458522370,400024;40565700804,03
846;OUTROS ENCARGOS ESPECIAIS;2357781984,51;2595302556,74;2539851939,5000014;2520956108,3200006;2766219208,7199984;3251684130,639998
366;EDUCACAO DE JOVENS E ADULTOS;12246856,01;17977433,14;25206683,669999998;28087867,38;32701725,91;20042221,7
453;TRANSPORTES COLETIVOS URBANOS;3432031707,619999;2831561180,05;2930062343,48;4061391506,42;4784008817,85;5573745758,590001
423;ASSISTENCIA AOS POVOS INDIGENAS;0,0;0,0;0;0;0;0
363;ENSINO PROFISSIONAL;1084300821,779998;1206198350,4100032;1246524969,9300044;1713857826,2000036;1581703149,3500028;1228814022,8099995
754;BIOCOMBUSTIVEIS;0;0;0;260000,0;250000,0;0,0
422;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS;110190511,64999996;107409564,39000025;104670834,50000061;145879797,52999946;190321979,7699987;178470263,45999992
92;REPRESENTACAO JUDICIAL EXTRAJUDICIAL;475453315,0299997;529958052,9000001;1127551970,1799989;1211287214,5200007;1379723431,810001;1497664777,6599991
306;ALIMENTACAO E NUTRICAO;819224516,7499995;747574817,7699989;668838214,7700006;804497978,4999998;737234403,33;722669987,3399999
544;RECURSOS HIDRICOS;300846008,41999996;439601684,65999997;357677490,34000003;497926992,5399996;490416013,8499996;428005051,97000015
129;ADMINISTRACAO DE RECEITAS;1414682586,4399977;1579300373,0799994;1592010017,6499996;1725251267,3200035;1577177094,9299946;1790630874,2999935
334;FOMENTO AO TRABALHO;3222761,359999999;3885507,1999999974;4247569,430000001;4194049,48;3927588,8299999973;3548775,589999998
481;HABITACAO RURAL;0;0;0;0;10000000,0;5000000,0
572;DESENVOLVIMENTO TECNOLOGICO E ENGENHARIA;321522140,6800004;327510455,82000023;188342920,07999995;139883279,05999994;146424631,85999995;146701346,77
364;ENSINO SUPERIOR;3814745475,7901797;3278248641,9901876;4419825043,870018;4789643492,529997;4483434285,379988;6206140542,759928
843;SERVICO DA DIVIDA INTERNA;9525356688,130003;10892217169,580011;12062554193,500004;13272383923,270006;14640922148,160006;15702772176,939993
181;POLICIAMENTO;9327251880,66987;10476525115,679882;12590482945,499884;13531280241,289995;15441785251,580023;16707713785,780216
