CODIGO ACAO;NOME ACAO;2010;2011;2012;2013;2014;2015
58640000;CAPACIT.CONSELHEIROS DIREITOS FUNC. CONSELHOS;18781,13;0,0;0,0;0;0;0
47700000;INTEGRACAO MUNIC.SIST. AGRIC.ABASTECIMENTO;7396278,02;420000,0;7957324,91;6468198,12;13936999,44;0
46240000;LINHAS METROVIARIAS-RESSARCIMENTO GRATUIDADES;171220500,0;182787798,0;180926444,0;180449588,0;208918704,0;0
14790000;LINHAS DA CPTM-ADAPTACAO PARA ACESSIBILIDADE;16070401,72;206899,62;0,0;0,0;0;0
61440000;PROVISAO POSTOS TRABALHO P/ CUSTODIADOS;0;0;0;37165390,999999985;43277253,30999999;0
58360000;APERF.FORMACAO CONT.PROCURADORES E SERVIDORES;2923905,12;2367527,66;2596952,0300000003;2856930,0500000003;4342213,390000001;0
60040000;LIBERDADE ASSISTIDA;0;17760930,0;17679458,95;19424100,06;19647428,799999997;19667597,66
56370000;APOIO TECNICO AS PPP'S E OUTRAS PARCERIAS;0;0;0;0;0;383134,83
24670000;FIN.ACOES BACIA BAIXADA SANTISTA REC USO AGUA;0;0;0;0,0;0,0;0
23250000;IMPLANTACAO DO EXPRESSO ABC;0;0;11275,76;0,0;0,0;0,0
57300000;CATAVENTO;5000000,0;7192000,0;0;0;0;0
51000000;MANUTENCAO DE BIBLIOTECA E DOCUMENTACAO;0,0;0;0;0;0;0
54400000;APOIO TECNICO-ADMINISTRATIVO;0,0;0,0;0,0;0;0;0
12930000;OBRAS INSTAL.UNID.POLICIA TECNICO-CIENTIFICA;0,0;2080152,02;63957,77;472224,89999999997;7994486,470000001;4114242,2600000002
19910000;EQUALIZACAO TAXAS JUROS FINAN. INCENTIVADOS;0;0;0,0;19364553,14;0,0;0,0
55330000;ADMINISTRACAO DO PATRIMONIO IMOBILIARIO;0;0;0;0;0;3297127,4799999995
56420000;INTELIGENCIA POLICIAL;99570226,56000002;149501568,36000025;90344290,77999994;134590590,33000004;161342184,59;175155801,12000003
57500000;AVALIACAO DO RENDIMENTO ESCOLAR;13394838,66;14234299,96;34166376,34;25079388,0;0,0;0
58010000;FUNCIONAMENTO DO CONSELHO EST.SAUDE-CES;0;0;12956,969999999998;48232,850000000035;55284,39999999998;0
49040000;RECUPERACAO/PAVIMENTACAO ADM DIRETA;0;0;0;0;0;1693367,75
57450000;ATENDIMENTO A JOVENS E ADULTOS NA EDUCACAO;3783124,01;0,0;13088759,18;10475488,74;7092800,0;0
61460000;SUPORTE ADMINISTRATIVO E FORMACAO DO SERVIDOR;0;0;0;227386305,83000588;247305752,8099968;0
54740000;SISTEMAS  ACOMP.ANALISE REG.METROPOLITANAS;0,0;0,0;0;0;0;0
25170000;FINANC.ACOES UGRHI SERRA MANTIQUEIRA-USO AGUA;0;0;0;0;0;0,0
55320000;ATEND.AMB.HOSP.SERV.CONTR./CONV.GEST.ESTADUAL;2212231783,0000005;2539638942,5000033;2637409919,109998;2734437715,59;2818506823,5399985;2819143980,640001
61700000;REMUN.E ENC.DOS PROF.MAG. ED.BAS.FUNDEB;0;0;0;0;10107701098,649965;0,0
48690000;PRODUCAO DE VACINAS;5149616,59;3474255,7900000005;655055,5099999999;479107,4;0,0;243879,95
50020000;ATENDIMENTO ODONTOLOGICO POLICIAIS MILITARES;725093,5700000002;636287,5100000001;0,0;0;0;0
20610000;EDUCACAO SANITARIA PARA PRODUTORES RURAIS;477252,04999999993;0,0;0,0;0,0;0,0;0
13610000;PLANO DE INVESTIMENTOS DO TRIBUNAL DE CONTAS;1403941,27;1126664,47;2395641,16;3508224,71;519803,39;1280140,8800000001
41380000;EXAMES  LABORATORIO  INTERESSE SAUDE PUBLICA;1410159,7;1312515,6300000004;951487,2800000001;3679077,149999999;8047159,199999997;14936137,62
41020000;INFRAESTRUTURA TURISTICA MUNICIPIOS-ESTANCIAS;0;0;0;0;0;10182252,950000003
56370000;ESTUDOS MODELAGEM  PPP PARA PROJ.PRIORITARIOS;0,0;0,0;0,0;2007968,97;534752,54;0
57030000;REGULARIZACAO FUNDIARIA DE CONJ.HABITACIONAIS;0,0;0;0;0;0;0
