CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
2913;DESENVOLVIMENTO REGIONAL INTEGRADO;690946391,0299999;422155543,6200001;266693868,88;234029737,42000002;315093791,3700001;167847103,34999996
3932;PLANEJAMENTO, FORMULACAO E IMPLEMENTACAO DA POLITICA DO SANEAMENTO DO ESTADO;0;0;0;0;0;97626758,33999994
2607;GESTAO DE AREAS PROTEGIDAS;83214008,4000001;91823707,48999988;83239356,51000002;90891517,67;92274450,52;118699380,52999987
3934;GESTAO DOS RECURSOS HIDRICOS;0;0;96956613,30999999;106138617,32000005;104708152,65999995;0
1307;EXTENSAO RURAL PARA O DESENVOLVIMENTO SUSTENTAVEL;0;0;0;0;0;176898654,05999982
3906;SANEAMENTO AMBIENTAL EM MANANCIAIS DE INTERESSE REGIONAL;103408926,15;174241850,94;62158676,92;32347629,22;38576862,15000001;49174869,8
1729;ATENCAO INTEGRAL AO ADOLESC. E INTEGRACAO DAS MSE DE INTERNACAO E SEMILIBERDADE;553390308,2600008;789854854,5100014;883409670,4100025;1024723101,7799977;1384926896,1900043;0
1704;PROGRAMA  ESTADUAL DE PROTECAO A TESTEMUNHAS;4142000,0;3848586,5;0,0;0;0;0
801;PARCERIA EDUCACIONAL ESTADO-MUNICIPIO;352855066,9399998;662730717,9699992;0,0;0,0;0,0;0,0
4107;GERENCIAMENTO ADMINISTRATIVO DA SECRETARIA DE ESPORTE, LAZER E JUVENTUDE;80307284,82000002;84132926,37999997;67563302,67999999;72802072,77999997;82590847,37000011;80886428,65
1043;ENSINO PUBLICO SUPERIOR;0;0;4689592419,649978;4994188762,630017;4666533704,63998;5997754493,109928
2002;ACOMPANHAMENTO, CONTROLE E AVALIACAO;19641403,27000002;23236164,560000002;39375993,97000001;37421792,88000001;39954502,29000006;45375235,92000001
914;PREVENCAO E CONTROLE DE ENDEMIAS;57027347,95999997;64076265,89000002;0,0;0;0;0
941;EXPANSAO E MODERNIZACAO NA SAUDE;0;0;264223815,87000006;401492417,08;401912731,6499997;304469119,99
151;GESTAO DE TECNOLOGIA DA INFORMACAO E COMUNICACAO;17226115,979999997;13297011,760000004;11339828,029999997;4883024,08;8216905,670000004;4269273,319999999
4401;INOVACAO E FORTALECIMENTO INSTITUCIONAL DA SECRETARIA DE GESTAO PUBLICA;31341865,520000007;44975851,489999995;62784090,40999999;54749001,05999999;58494490,73999999;19771051,719999995
3805;REINTEGRACAO SOCIAL DO PRESO/INTERNADO E EGRESSO;48855591,46999997;49103444,479999945;0,0;0;0;0
4112;LAZER  E QUALIDADE DE VIDA;0;0;4095526,2;6481875,83;9963594,59;3814401,39
2302;FOMENTO AO EMPREGO E RENDA;120984371,3299999;86315466,66999997;34596053,49000001;51327912,319999985;52932077,42000001;52766319,769999966
4903;GESTAO DA GERACAO, FORNECIMENTO E UTILIZACAO DE ENERGIA ELETRICA;0;0;0;0;0;257260,0
4106;FAZENDO A DIFERENCA;2596826,0199999996;1797940,58;0,0;0,0;0,0;0
1314;INFRAESTRUTURA E LOGISTICA PARA O AGRONEGOCIO;91973239,12000002;73148810,62;46864975,43;72572317,88;54594750,99000002;49535813,790000014
2390;PROGRAMA ESTADUAL DE DESBUROCRATIZACAO - PED;766602,67;302662,08;0,0;0;0;0
2803;GESTAO ESTRATEGICA DE GOVERNO;0,0;0,0;0;0;0;0
100;SUPORTE ADMINISTRATIVO;4692323557,550012;6211195164,120021;6199616591,329998;7403195575,240049;7016054238,530104;0
1307;DESENVOLVIMENTO LOCAL INTEGRADO SUSTENTAVEL;147687554,37000036;143209760,9799998;172178174,82999974;182149497,81000027;193076291,62000123;0
2015;ADMINISTRACAO DAS CARTEIRAS AUTONOMAS;40993868,34;45790871,639999986;48109042,41999993;56020025,36000001;60692835,12000001;56232592,38000001
1611;TRANSPOSICAO RODO-FERROVIARIA DA RMSP;0;0;34422850,0;2012398135,7200005;1200752064,6000001;899392686,2
1702;ASSISTENCIA A VITIMA;57414,62;74895,66;0,0;0;0;0
