CODIGO ACAO;NOME ACAO;2010;2011;2012;2013;2014;2015
58640000;CAPACIT.CONSELHEIROS DIREITOS FUNC. CONSELHOS;23016,13;4641,0;0,0;0;0;0
47700000;INTEGRACAO MUNIC.SIST. AGRIC.ABASTECIMENTO;7396278,02;5099000,0;8017324,91;7508198,12;13956999,44;0
46240000;LINHAS METROVIARIAS-RESSARCIMENTO GRATUIDADES;171220500,0;188164800,0;180926444,0;183227000,0;208918704,0;0
14790000;LINHAS DA CPTM-ADAPTACAO PARA ACESSIBILIDADE;21368353,28;2620200,0;0,0;0,0;0;0
61440000;PROVISAO POSTOS TRABALHO P/ CUSTODIADOS;0;0;0;39772605,35999998;46140164,529999994;0
58360000;APERF.FORMACAO CONT.PROCURADORES E SERVIDORES;3033766,75;2792811,01;2927102,1600000006;3320217,7;5415494,84;0
60040000;LIBERDADE ASSISTIDA;0;19959410,0;19807220,0;21303526,7;21660408,2;21384147,740000002
56370000;APOIO TECNICO AS PPP'S E OUTRAS PARCERIAS;0;0;0;0;0;710974,8300000001
24670000;FIN.ACOES BACIA BAIXADA SANTISTA REC USO AGUA;0;0;0;9000000,0;9460860,459999999;0
23250000;IMPLANTACAO DO EXPRESSO ABC;0;0;4599752,0;0,0;0,0;0,0
57300000;CATAVENTO;5000000,0;7192000,0;0;0;0;0
51000000;MANUTENCAO DE BIBLIOTECA E DOCUMENTACAO;0,0;0;0;0;0;0
54400000;APOIO TECNICO-ADMINISTRATIVO;0,0;0,0;0,0;0;0;0
12930000;OBRAS INSTAL.UNID.POLICIA TECNICO-CIENTIFICA;0,0;2509057,02;63957,77;8294717,2;11707058,699999997;7204094,1
19910000;EQUALIZACAO TAXAS JUROS FINAN. INCENTIVADOS;0;0;3600000,0;32000000,0;0,0;0,0
55330000;ADMINISTRACAO DO PATRIMONIO IMOBILIARIO;0;0;0;0;0;8179595,18
56420000;INTELIGENCIA POLICIAL;197313611,7200002;266542488,1500003;209918388,78000015;240818553,63000005;199228038,39999995;222861909,21000013
57500000;AVALIACAO DO RENDIMENTO ESCOLAR;26789677,32;31155499,96;48030746,06;35269188,0;0,0;0
58010000;FUNCIONAMENTO DO CONSELHO EST.SAUDE-CES;0;0;13795,429999999995;48438,700000000026;55556,57999999999;0
49040000;RECUPERACAO/PAVIMENTACAO ADM DIRETA;0;0;0;0;0;2140931,97
57450000;ATENDIMENTO A JOVENS E ADULTOS NA EDUCACAO;3783124,01;3926737,14;15642291,37;10912430,16;9429229,620000001;0
61460000;SUPORTE ADMINISTRATIVO E FORMACAO DO SERVIDOR;0;0;0;256059839,64000636;271253842,2099967;0
54740000;SISTEMAS  ACOMP.ANALISE REG.METROPOLITANAS;0,0;0,0;0;0;0;0
25170000;FINANC.ACOES UGRHI SERRA MANTIQUEIRA-USO AGUA;0;0;0;0;0;0,0
55320000;ATEND.AMB.HOSP.SERV.CONTR./CONV.GEST.ESTADUAL;2218901125,5400004;2572704175,400003;2649207153,729998;2787603720,0000005;2882168034,7499986;2819856412,9100003
61700000;REMUN.E ENC.DOS PROF.MAG. ED.BAS.FUNDEB;0;0;0;0;11161262150,279951;0,0
48690000;PRODUCAO DE VACINAS;5412007,59;5545533,84;954884,5099999999;774993,5700000001;0,0;637488,5700000001
50020000;ATENDIMENTO ODONTOLOGICO POLICIAIS MILITARES;860357,02;708496,8700000001;0,0;0;0;0
20610000;EDUCACAO SANITARIA PARA PRODUTORES RURAIS;1394240,0;38280,0;0,0;21934,0;0,0;0
13610000;PLANO DE INVESTIMENTOS DO TRIBUNAL DE CONTAS;5999328,500000001;6010050,840000001;7998792,709999998;9407395,870000001;5200009,01;2481862,4499999997
41380000;EXAMES  LABORATORIO  INTERESSE SAUDE PUBLICA;2340166,1800000006;1657697,5000000002;1738447,6300000006;17644674,96;14887809,139999997;20826292,460000005
41020000;INFRAESTRUTURA TURISTICA MUNICIPIOS-ESTANCIAS;0;0;0;0;0;127132544,00000004
56370000;ESTUDOS MODELAGEM  PPP PARA PROJ.PRIORITARIOS;226618,21;0,0;1060652,0;3839609,0;598669,54;0
57030000;REGULARIZACAO FUNDIARIA DE CONJ.HABITACIONAIS;0,0;0;0;0;0;0
48160000;AMPLIACAO,ATUAL.MAN.EQUIP.SIST.INFORMATIZADOS;0,0;0,0;0;0;0;0
44580000;VIGILANCIA SANITARIA ANIMAL;52550698,910000056;46563413,020000026;55777950,22999999;55160461,19000001;55674127,64000016;0
24900000;PRODUCAO DE LOTES URB. EM PARC. C/MUNICIPIOS;0;0;0;0;4444649,41;2035958,38
42860000;MONIT. DA QUALID. E CUSTOS TRANSPORTE METROP.;0;0;0;0;0;16471,84
51320000;CAPACITACAO EM ESPORTE;622192,71;727834,0599999999;8563,48;0;403160,0;0
21920000;DESENV. DE INICIATIVAS DE INCLUSÃO DIGITAL;0,0;0,0;0;0;0;0
61650000;ATEND. DESCENTRALIZADO A SAUDE POP.PRISIONAL;0;0;0;0;15000000,0;13100000,0
54690000;OFICINAS CULTURAIS;20572802,07999999;24216655,77;20476556,759999998;20628880,880000006;25594923,779999997;19505077,44000001
49630000;PRODUCAO RENDA ASSENT.QUILOMBOS DEMAIS BENEF.;850773,9;713538,7700000001;787303,1100000001;975146,1599999998;390971,01999999996;426603,18999999994
18590000;DESENVOLVIMENTO ECOTURISMO REG.MATA ATLANTICA;8155681,499999999;2852158,7699999996;7660254,83;155951,56;228291,43;0,0
59380000;ENSINO TECNICO;34326658,620000005;46915619,14999996;0,0;0,0;0,0;0
