CODIGO CATEGORIA DE DESPESA;NOME CATEGORIA DE DESPESA;2010;2011;2012;2013;2014;2015
3;DESPESAS CORRENTES;126050054073,65263;140642804502,4958;156162935936,18332;174351825612,56097;185900793344,58716;201936639242,92
4;DESPESAS DE CAPITAL;21006005312,06997;19306983685,379883;16943763003,989899;23518346309,479965;23941220679,40005;22067568029,879932
