CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
3932;PLANEJAMENTO, FORMULACAO E IMPLEMENTACAO DA POLITICA DO SANEAMENTO DO ESTADO;0;0;0;0;0;12757070,93
2607;GESTAO DE AREAS PROTEGIDAS;19907721,049999986;17954397,429999996;20945367,400000002;13270969,919999998;20666040,920000006;18888311,670000006
3934;GESTAO DOS RECURSOS HIDRICOS;0;0;0,0;156014,40999999997;10386392,360000001;0
1307;EXTENSAO RURAL PARA O DESENVOLVIMENTO SUSTENTAVEL;0;0;0;0;0;18848591,389999993
3906;SANEAMENTO AMBIENTAL EM MANANCIAIS DE INTERESSE REGIONAL;32290784,619999997;6483501,83;9308556,99;3488556,5500000003;4125985,9499999997;4791055,03
1729;ATENCAO INTEGRAL AO ADOLESC. E INTEGRACAO DAS MSE DE INTERNACAO E SEMILIBERDADE;33168103,129999995;36906145,84000003;29150977,47999997;33906517,73000002;66229629,86999991;0
1704;PROGRAMA  ESTADUAL DE PROTECAO A TESTEMUNHAS;418307,0;90000,0;325337,0;0;0;0
801;PARCERIA EDUCACIONAL ESTADO-MUNICIPIO;132668611,39000003;32672856,459999993;55980761,13000001;53223090,89999998;16751814,33;17955518,130000003
4107;GERENCIAMENTO ADMINISTRATIVO DA SECRETARIA DE ESPORTE, LAZER E JUVENTUDE;6066725,220000001;14335425,3;16492784,269999996;8428833,03;11550656,990000006;9492088,950000001
1043;ENSINO PUBLICO SUPERIOR;0;0;0,0;2149980197,8399982;1793608695,0699978;1215518253,5599992
2002;ACOMPANHAMENTO, CONTROLE E AVALIACAO;797001,3200000001;2550079,8;3833850,25;4482881,119999999;4701563,580000001;3502569,62
914;PREVENCAO E CONTROLE DE ENDEMIAS;6929694,730000007;8966177,09;13396617,679999998;0;0;0
941;EXPANSAO E MODERNIZACAO NA SAUDE;0;0;0,0;140659168,98000002;220102683,23;51408532,21000001
151;GESTAO DE TECNOLOGIA DA INFORMACAO E COMUNICACAO;7164472,459999999;9297727,080000002;4115925,090000001;1500953,54;685804,24;781269,9299999999
4401;INOVACAO E FORTALECIMENTO INSTITUCIONAL DA SECRETARIA DE GESTAO PUBLICA;2127693,54;3402454,6300000004;6079085,320000001;8064729,259999997;7590220,569999999;4112947,7600000007
3805;REINTEGRACAO SOCIAL DO PRESO/INTERNADO E EGRESSO;3680947,099999999;5891816,569999997;4974549,120000005;0;0;0
4112;LAZER  E QUALIDADE DE VIDA;0;0;0,0;206598,24;2226826,34;0,0
2302;FOMENTO AO EMPREGO E RENDA;57705217,59999998;43780337,86;24644419,35;4294468,440000001;8383743,869999999;8861386,469999999
4903;GESTAO DA GERACAO, FORNECIMENTO E UTILIZACAO DE ENERGIA ELETRICA;0;0;0;0;0;0,0
4106;FAZENDO A DIFERENCA;5149680,0;382787,2;1482440,0;0,0;0,0;0
1314;INFRAESTRUTURA E LOGISTICA PARA O AGRONEGOCIO;26231458,41;39873602,69;65814860,530000016;47614323,84000001;59740536,980000004;19980429,53
2390;PROGRAMA ESTADUAL DE DESBUROCRATIZACAO - PED;303995,86000000004;202948,36000000002;302662,08;0;0;0
2803;GESTAO ESTRATEGICA DE GOVERNO;0,0;0,0;0;0;0;0
100;SUPORTE ADMINISTRATIVO;774917302,5599985;736003731,4399964;2343515881,850002;2149574738,1000075;4338371738,169997;0
1307;DESENVOLVIMENTO LOCAL INTEGRADO SUSTENTAVEL;11678381,839999985;11813230,690000005;11615215,370000003;13569635,419999996;19315866,300000004;0
2015;ADMINISTRACAO DAS CARTEIRAS AUTONOMAS;5769747,5;12043009,610000001;28148861,120000005;31476256,55999999;39884340,88999999;2909756,889999999
1611;TRANSPOSICAO RODO-FERROVIARIA DA RMSP;0;0;0,0;18122000,0;234912199,01;140219004,81
1702;ASSISTENCIA A VITIMA;56700,0;340,0;5138,4;0;0;0
1027;INOVACAO PARA A COMPETITIVIDADE;18614780,0;3632445,3100000005;11071677,159999998;22851644,62;17725424,1;4947564,350000001
2825;ASSESSORAMENTO E COORDENACAO DA POLITICA ADMINISTRATIVA DO GOVERNO;0;0;0,0;18953712,379999995;32606070,46000001;0
2809;AUXILIO-ALIMENTACAO;0,0;0,0;0;0;0;0
2901;DESENVOLVIMENTO DO PROCESSO ORCAMENTARIO DO ESTADO DE SAO PAULO;710451,2100000001;1127262,99;1139072,5399999998;2837975,16;2660484,19;570077,61
1817;ASSISTENCIA A POLICIA MILITAR DO ESTADO - CAIXA BENEFICENTE DA POLICIA MILITAR;2840774,539999999;2688576,909999999;2318221,2700000005;2542299,8000000007;17535298,98;19995117,69
1308;ABASTECIMENTO, SEGURANCA ALIMENTAR E DINAMIZACAO DAS CADEIAS PRODUTIVAS;0;0;0;0;0;408113,01
2507;REGULARIZACAO FUNDIARIA DE INTERESSE HABITACIONAL;5686736,359999999;2395250,21;1242014,51;3739245,2699999996;5408269,31;3941815,0
4111;JUVENTUDE EM FOCO;0;0;0;0;0;0,0
1021;APOIO AO DESENVOLVIMENTO TECNOLOGICO DO ESTADO DE SAO PAULO;1890207,32;0;0,0;25460547,289999984;18124974,930000007;0
2605;PLANEJAMENTO E GESTAO AMBIENTAL PARA O DESENVOLVIMENTO REGIONAL SUSTENTADO;0,0;0;0;0;0;0
1730;ACESSO AOS SERVICOS NA AREA DA CIDADANIA E DA JUSTICA;0;0;0,0;15512834,930000009;44944043,58000002;0
805;PARCERIAS ESCOLA, COMUNIDADE E SOCIEDADE CIVIL;27345850,29;8605534,240000002;20063003,58;15928191,91;14081671,809999997;4378604,130000001
4304;DESENVOLVIMENTO DA CIENCIA E DA TECNOLOGIA;22189566,33;26015746,549999997;26569890,759999998;0;0;0
4109;SAO PAULO MAIS ESPORTE E LAZER;0;0;0;0;0;2524123,2
1308;ABASTECIMENTO E SEGURANCA ALIMENTAR;12868779,960000003;12059042,450000009;304405,77;353569,03;1359862,16;0
1730;DIREITOS HUMANOS E CIDADANIA;0;0;0;0;0;40568200,129999995
2701;DEFESA DOS INTERESSES SOCIAIS E INDIVIDUAIS E DA ORDEM JURIDICA;141703125,03;135314708,03000003;180132948,12000006;171415746,08999994;239470321,02000013;209331052,81000006
3704;OPERACAO, RECAPACITACAO E MODERNIZACAO DO TRANSPORTE METROPOLITANO - BOA VIAGEM;9739100,560000004;257993,63;0;0;0;0
2021;GESTAO DOS REGIMES PROPRIOS DE PREVIDENCIA ESTADUAL;1497676793,2500012;285488925,3899999;342107848,9499997;409254960,58;2693615889,2799983;2070397478,7100015
4003;APERFEICOAMENTO E CAPACITACAO DOS RECURSOS HUMANOS DA  ADVOCACIA DO ESTADO;2454488,12;0,0;1516670,82;2065360,5099999998;0;0
4408;ASSISTENCIA MEDICA AO SERVIDOR PUBLICO ESTADUAL;0;0;0,0;99635087,31000012;96767434,65000002;46042719,47999996
1216;BIBLIOTECAS E LEITURA;0;0;0,0;483619,12;4700000,0;0,0
1727;MODERNIZACAO DA SECRETARIA DA JUSTICA E DA DEFESA DA CIDADANIA;4282619,130000002;3688613,240000002;7155878,680000001;78810,14;0;0
1206;RADIOS, TVS EDUCATIVAS E NOVAS MIDIAS;15051702,350000005;51430734,75000001;27665523,820000004;17371202,560000002;15205251,94;18442706,519999996
2902;PLANEJAMENTO E FOMENTO AO DESENVOLVIMENTO REGIONAL;2205057,5;1223962,55;2888152,37;0,0;0;0
3701;EXPANSAO DO SISTEMA DE TRANSPORTE COLETIVO METROPOLITANO - PITU EM MARCHA;3176792,73;0,0;0;0;0;0
935;PRODUCAO DE IMUNOBIOLOGICOS, SOROS, HEMODERIVADOS E MEDICAMENTOS;63463,0;262391,0;2059392,9499999997;12811373,19;6877750,429999998;0
2308;FOMENTO AO EMPREENDEDORISMO;0;0;0;0;0;233923,59
2804;RECOMPOSICAO DO SERVICO PUBLICO E DA GESTAO DE PESSOAS;0,0;0,0;0,0;0;0;0
2003;CAPACITACAO PARA  SERVIDORES PUBLICOS;1130058,99;1533360,7400000002;675799,63;0;0;0
300;PROCESSO JUDICIARIO;0,0;0,0;0,0;4,09;0;0
2005;FOMENTO AO DESENVOLVIMENTO SOCIOECONOMICO;0;0,0;0,0;3600000,0;170128509,67;36733137,019999996
804;MELHORIA DA QUALIDADE DO ENSINO MEDIO;600602062,4300005;633488486,9699987;822498094,6900003;18808571,01;565634,7699999999;0
2309;OPORTUNIDADES PARA INSERCAO NO MERCADO DE TRABALHO;0;0;0;0;0;1684248,03
3503;ATENCAO A CRIANCA E AO ADOLESCENTE;0,0;0,0;0,0;0;0;0
2816;GOVERNO ELETRONICO II - TRANSACOES INTERNAS;250333,66999999998;0,0;0;0;0;0
3810;RACIONALIZACAO DO SISTEMA PRISIONAL;1362520,85;2269100,73;2164456,8000000003;0;0;0
2800;GOVERNO ELETRONICO;0;2651,0;0;0;0;0
815;MANUTENCAO E SUPORTE DA EDUCACAO BASICA;360906389,2999987;450790678,2600001;457073497,20000035;377718808,8600006;1122071656,260002;348548003,31000054
3930;FORTALECIMENTO DAS COMPETENCIAS REGULADORAS DO ESTADO EM SANEAMENTO E ENERGIA;1944905,8499999999;3480001,3800000004;1738124,0700000003;168885,0;0;0
1210;SAO PAULO : UM ESTADO DE LEITORES;0,0;0,0;0;0;0;0
4108;NOVOS RUMOS NOS VELHOS TRILHOS;1994634,7300000002;1495133,6899999997;3385818,52;695807,12;0,0;1069200,0
2907;SISTEMA DE PLANEJAMENTO REGIONAL / METROPOLITANO;8512697,370000001;972401,63;9931012,86;14972815,98;16523148,86;325524,2
1819;SAO PAULO VIVENDO EM PAZ;0;0;0,0;413515970,48000133;696691676,369995;0
4109;ESPORTE PAULISTA RUMO A 2016;7175787,01;3755167,7500000005;4168362,7299999995;5666966,98;5158321,15;0
102;OBRIGACOES PREVIDENCIARIAS EM COMPLEMENTACAO;32383398,56;10368725,1;32610498,66;165872242,85000002;228582111,35000008;136672961,55
2910;QUALIDADE DE VIDA DOS POVOS INDIGENAS;0,0;0,0;0;0;0;0
4906;DESENVOLVIMENTO DE FONTES DE ENERGIA RENOVAVEL NO ESTADO;0;0;0;0;0;250000,0
3813;GESTAO DA CUSTODIA E APOIO A REINTEGRACAO SOCIAL DA POPULACAO PENAL E EGRESSOS;0;0;0;0,0;333537412,11999977;0
1605;GESTAO, OPERACAO E SEGURANCA DE RODOVIAS;17309483,580000006;12874586,64;20708839,8;76342950,25000003;95950605,44999996;19888861,099999987
2906;SISTEMA ESTADUAL DE PLANEJAMENTO E AVALIACAO;1897591,24;1313688,09;842128,62;8674997,74;4590682,7700000005;842144,97
1021;INOVACAO E TECNOLOGIA PARA POLITICAS PUBLICAS, ORGAOS GOVERNAMENTAIS E EMPRESAS;0;0;0;0;0;16214690,940000005
4906;ENERGIAS RENOVAVEIS;0;0;0;0,0;260000,0;0
4700;GESTAO E IMPLEMENTACAO DA POLITICA DE INCLUSAO SOCIAL DA PESSOA COM DEFICIENCIA;3361149,9499999993;17525761,160000004;11467182,860000005;20990908,04;15246992,43;96525938,31
2824;ARQUIVO DO ESTADO - MEMORIA E GESTAO DOCUMENTAL;4391109,470000001;20333319,409999996;6128831,12;529233,0199999999;3337410,4400000004;1179932,17
2908;SISTEMA ESTADUAL DE INFORMACOES GEOGRAFICAS E CARTOGRAFICAS;0,0;0,0;0;0;0;0
807;TECNOLOGIA DA INFORMACAO E COMUNICACAO NA EDUCACAO - TIC;134248541,7599999;92779054,96999997;133304636,38999999;136591973,72;112010168,36;146675,63
928;ATENDIMENTO INTEGRAL E DE ALTA COMPLEXIDADE EM ASSISTENCIA MEDICA EM RIB. PRETO;23951305,82999998;23808639,310000006;33645300,300000004;235730,73;0,0;0
1804;SINAL VERDE;27840815,090000004;34791035,77000001;69747068,89000002;3289742,97;0;0
2405;PROMOCAO DA CULTURA E LAZER;0,0;0,0;0,0;0;0;0
3517;PROTECAO SOCIAL;0;0;0,0;74045613,62000012;22808185,49;20510281,61999998
2818;GOVERNO ELETRONICO IV - INCLUSAO DIGITAL;0,0;0,0;0;0;0;0
4110;IMPLEMENTANDO A ATIVIDADE ESPORTIVA;9149970,16;5316495,41;3248566,6100000003;3012068,11;12570298,380000005;7135006,899999999
2814;CAPACITACAO EMPRESARIAL DA PRODESP;0,0;0,0;0;0;0;0
2825;ASSESSORAMENTO E COORDENACAO POLITICA DO GOVERNO;0;0;0;0;0;21324684,69
100;APOIO ADMINISTRATIVO;0;0;0;0;0;2376595392,0500026
4414;SAUDE E QUALIDADE DE VIDA DO SERVIDOR;0;0;0,0;1912474,1100000003;7256543,629999999;565171,5700000001
1203;FORMACAO CULTURAL;7648216,63;599428,2;1080120,89;629649,45;493315,88999999996;189188,11000000002
2506;PRO-LAR;3816812,729999999;2954872,85;472374,18000000005;1129452,54;0;0
2602;EDUCACAO AMBIENTAL;687774,37;658900,01;554990,4;1133914,7000000002;777973,9200000002;104400,01000000001
1709;REGULARIZACAO FUNDIARIA;66761,23;34732,93;190615,32000000004;19182,0;0;0
2909;GESTAO EM PLANEJAMENTO E DESENVOLVIMENTO REGIONAL;49382829,70999999;24147566,38;69780194,40999998;54001076,42999999;29860445,110000014;0
2611;GESTAO DOS RECURSOS HIDRICOS;3016747,68;177562,62;6038149,470000001;12500205,51;34807086,53;0
2916;SAO PAULO: TERRITORIO E CARTOGRAFIA;3700868,89;4333451,79;10811007,59;1888999,8900000001;6272657,300000001;620005,76
2303;LAZER DO TRABALHADOR;175857,38;0;0;0;0;0
3806;GESTAO DO SISTEMA PRISIONAL;143612127,30999982;159183102,05000025;201988958,11000004;296441,29;0,0;0
4802;FOMENTO AO DESENVOLVIMENTO SUSTENTAVEL DA MACROMETROPOLE PAULISTA;0;0;0,0;8146368,84;31125119,21;59196711,39
4412;GESTAO PARA RESULTADOS;0;0;0,0;1012050,8;10020,0;12540,0
1024;ENSINO PUBLICO TECNICO;288200454,88;331361785,9100005;340198948,6500002;7653482,070000001;12665296,969999999;470089,24
940;GESTAO EM SAUDE;0;0;0,0;9076683,0;0,0;0
4804;PLANEJAMENTO E ARTICULACAO PARA DESENVOLVIMENTO SUSTENTAVEL DA MACROMETROPOLE;0;0;0,0;8865245,010000007;10584940,980000008;6129245,190000006
3515;REDE SOCIAL SAO PAULO;0;0;0,0;1262955,32;0,0;388147,2
1726;ASSISTENCIA AO ADOLESCENTE EM CONFLITO COM A LEI;585437,31;0;0;0;0;0
4101;ESPORTE SOCIAL;0,0;0,0;0;0;0;0
2801;SALVANDO VIDAS - DEFESA CIVIL;8815441,389999997;7791556,079999997;7281055,460000001;5219748,6;14022565,600000003;11209489,759999996
1037;QUALIDADE DA ENGENHARIA E DA INFRAESTRUTURA PAULISTA;9774410,540000003;12353765,04;12519550,949999997;729846,9400000001;287697,77;0
1218;FOMENTO CULTURAL E ECONOMIA CRIATIVA;0;0;0,0;16747705,8;15358075,61;35756582,92
2815;GOVERNO ELETRONICO I - INFRA-ESTRUTURA;828671,42;0,0;0,0;0,0;1397542,31;0
4301;ASSISTENCIA MEDICA, HOSPITALAR E AMBULATORIAL EM HOSPITAIS UNIVERSITARIOS;217588283,21999982;271805147,3999987;373460623,5699974;3342465,059999976;16985317,11;0
2904;SISTEMA ESTADUAL DE ANALISE DE DADOS;0,0;0;0;0;0;0
936;FORNECIMENTO DE SANGUE, COMPONENTES E DERIVADOS;0;0;0;0;0;7202218,150000003
1723;MODERNIZACAO DO COMPLEXO BARRA FUNDA;0,0;0,0;0;0;0;0
3512;GESTAO DA POLITICA SOCIAL;813408,6699999999;7889,3;485140,53;314508,15;18473751,69;11799859,03
4403;GESTAO ESTRATEGICA DE PESSOAS;4094469,71;1509812,8299999998;1798598,42;1082689,6700000002;2425042,4;1803511,7
2806;CENTRO DE EXCELENCIA EM GESTAO PUBLICA;20474,11;0;0;0;0;0
