CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
2913;DESENVOLVIMENTO REGIONAL INTEGRADO;408493347,0599999;120580657,99000002;216836530,27000013;132721662,46999998;272137367,72999996;85232357,04
3932;PLANEJAMENTO, FORMULACAO E IMPLEMENTACAO DA POLITICA DO SANEAMENTO DO ESTADO;0;0;0;0;0;62815743,50000002
2607;GESTAO DE AREAS PROTEGIDAS;65976900,80000003;72713927,39999993;63396884,38000004;67041711,71999998;71743726,30000007;103462645,78999992
3934;GESTAO DOS RECURSOS HIDRICOS;0;0;1662661,8699999999;2082176,2199999995;3281081,4999999967;0
1307;EXTENSAO RURAL PARA O DESENVOLVIMENTO SUSTENTAVEL;0;0;0;0;0;162081726,40999988
3906;SANEAMENTO AMBIENTAL EM MANANCIAIS DE INTERESSE REGIONAL;100908715,5;150567225,89999998;42954063,38000001;18659633,669999998;37736054,20000001;42883063,0
1729;ATENCAO INTEGRAL AO ADOLESC. E INTEGRACAO DAS MSE DE INTERNACAO E SEMILIBERDADE;513038777,1600011;758387708,2700024;847910446,6000009;956460061,6999977;1285308275,9800067;0
1704;PROGRAMA  ESTADUAL DE PROTECAO A TESTEMUNHAS;4052000,0;3523249,5;0,0;0;0;0
801;PARCERIA EDUCACIONAL ESTADO-MUNICIPIO;268379563,26000017;285852252,60999984;0,0;0,0;0,0;0,0
4107;GERENCIAMENTO ADMINISTRATIVO DA SECRETARIA DE ESPORTE, LAZER E JUVENTUDE;65568555,94999998;64653250,44000001;58322891,0999999;58458427,179999985;72256192,71000016;68521814,68
1043;ENSINO PUBLICO SUPERIOR;0;0;2463243915,6900196;2793636005,690019;3420609766,090004;4648168367,110042
2002;ACOMPANHAMENTO, CONTROLE E AVALIACAO;17087350,760000005;19393708,66;34886434,24999999;32701026,199999996;36451932,67000005;42555662,02
914;PREVENCAO E CONTROLE DE ENDEMIAS;48059681,86999997;50679648,20999996;0,0;0;0;0
941;EXPANSAO E MODERNIZACAO NA SAUDE;0;0;118269336,61999992;151974030,04000002;351827861,93999994;264599571,94
151;GESTAO DE TECNOLOGIA DA INFORMACAO E COMUNICACAO;4949024,390000001;5171263,870000001;7689573,649999999;3702822,45;3255698,1400000006;3587145,24
4401;INOVACAO E FORTALECIMENTO INSTITUCIONAL DA SECRETARIA DE GESTAO PUBLICA;27796791,750000004;38763526,79999997;54474055,85999996;46717039,81999998;54269898,43000001;15274765,479999999
3805;REINTEGRACAO SOCIAL DO PRESO/INTERNADO E EGRESSO;42942653,83999996;44124230,04999999;0,0;0;0;0
4112;LAZER  E QUALIDADE DE VIDA;0;0;3388927,96;4255049,49;9963094,59;3790076,98
2302;FOMENTO AO EMPREGO E RENDA;74102291,31999993;56107692,84000001;28690309,43;37516192,21000003;43756862,90000003;49823382,89999998
4903;GESTAO DA GERACAO, FORNECIMENTO E UTILIZACAO DE ENERGIA ELETRICA;0;0;0;0;0;257260,0
4106;FAZENDO A DIFERENCA;2174918,82;270500,58;0,0;0,0;0,0;0
1314;INFRAESTRUTURA E LOGISTICA PARA O AGRONEGOCIO;51480356,96;62734,75;2681332,96;13629734,959999999;36128378,510000005;38701698,93
2390;PROGRAMA ESTADUAL DE DESBUROCRATIZACAO - PED;562365,47;0,0;0,0;0;0;0
2803;GESTAO ESTRATEGICA DE GOVERNO;0,0;0,0;0;0;0;0
100;SUPORTE ADMINISTRATIVO;3114992382,7400103;3816993321,970029;4006788937,240014;4578341569,8399315;4600971325,660014;0
1307;DESENVOLVIMENTO LOCAL INTEGRADO SUSTENTAVEL;135779229,65000007;131558331,03000014;158534218,80000004;162712401,34000033;174199447,94000077;0
2015;ADMINISTRACAO DAS CARTEIRAS AUTONOMAS;28455175,990000002;13201802,290000003;14826483,309999999;17191517,289999988;55754649,13999997;49614561,81000001
1611;TRANSPOSICAO RODO-FERROVIARIA DA RMSP;0;0;16300850,0;1777147936,7100005;1060466501,0499998;826540232,1600001
1702;ASSISTENCIA A VITIMA;57074,62;64904,51000000001;0,0;0;0;0
1027;INOVACAO PARA A COMPETITIVIDADE;17250136,9;1681507,4100000001;7912321,470000001;12689992,98;11040459,07;14148386,020000001
2825;ASSESSORAMENTO E COORDENACAO DA POLITICA ADMINISTRATIVA DO GOVERNO;0;0;165318637,83000037;189586744,44000015;216350526,44999984;0
2809;AUXILIO-ALIMENTACAO;0,0;0,0;0;0;0;0
2901;DESENVOLVIMENTO DO PROCESSO ORCAMENTARIO DO ESTADO DE SAO PAULO;5121308,1499999985;4668617,15;5842096,909999999;4847235,420000005;5291804,650000001;10278861,240000002
1817;ASSISTENCIA A POLICIA MILITAR DO ESTADO - CAIXA BENEFICENTE DA POLICIA MILITAR;130510237,11999987;148902040,39000005;179323854,71999988;183023252,51000005;191846621,57000002;255672018,02000013
1308;ABASTECIMENTO, SEGURANCA ALIMENTAR E DINAMIZACAO DAS CADEIAS PRODUTIVAS;0;0;0;0;0;4380813,780000001
2507;REGULARIZACAO FUNDIARIA DE INTERESSE HABITACIONAL;30193803,71;35549710,69;39374488,08;48591998,95999999;26111200,0;32591013,58
4111;JUVENTUDE EM FOCO;0;0;0;0;0;1037159,05
1021;APOIO AO DESENVOLVIMENTO TECNOLOGICO DO ESTADO DE SAO PAULO;0,0;0;132795373,8600001;156713842,12999982;168258512,15000018;0
2605;PLANEJAMENTO E GESTAO AMBIENTAL PARA O DESENVOLVIMENTO REGIONAL SUSTENTADO;0,0;0;0;0;0;0
1730;ACESSO AOS SERVICOS NA AREA DA CIDADANIA E DA JUSTICA;0;0;108215346,12000006;119398309,4199999;131766568,01999995;0
805;PARCERIAS ESCOLA, COMUNIDADE E SOCIEDADE CIVIL;64817703,070000015;89516334,45999996;58994763,06000004;67887687,83;490348396,4100003;153721566,89000005
4304;DESENVOLVIMENTO DA CIENCIA E DA TECNOLOGIA;801686790,36;967659527,22;0,0;0;0;0
4109;SAO PAULO MAIS ESPORTE E LAZER;0;0;0;0;0;66259898,29
1308;ABASTECIMENTO E SEGURANCA ALIMENTAR;187301357,60999998;28399602,309999973;6614515,219999999;4740257,11;5099038,4700000025;0
1730;DIREITOS HUMANOS E CIDADANIA;0;0;0;0;0;136237465,67999992
2701;DEFESA DOS INTERESSES SOCIAIS E INDIVIDUAIS E DA ORDEM JURIDICA;1184497749,290001;1259907828,6599987;1373981018,1799986;1445199347,9699993;1587817104,8199995;1787837039,0699985
3704;OPERACAO, RECAPACITACAO E MODERNIZACAO DO TRANSPORTE METROPOLITANO - BOA VIAGEM;0,0;0,0;0;0;0;0
2021;GESTAO DOS REGIMES PROPRIOS DE PREVIDENCIA ESTADUAL;15056299142,800028;17231281785,65;20628396700,770023;20548178557,139977;23402277157,25001;24865873552,21001
4003;APERFEICOAMENTO E CAPACITACAO DOS RECURSOS HUMANOS DA  ADVOCACIA DO ESTADO;0,0;0,0;0,0;0,0;0;0
4408;ASSISTENCIA MEDICA AO SERVIDOR PUBLICO ESTADUAL;0;0;714366941,7100009;821730506,3100005;1028935858,2999967;1104939067,4999986
1216;BIBLIOTECAS E LEITURA;0;0;9009556,05;11464807,29;20472255,2;13727877,0
1727;MODERNIZACAO DA SECRETARIA DA JUSTICA E DA DEFESA DA CIDADANIA;99507162,39000015;108370621,04999995;0,0;0,0;0;0
1206;RADIOS, TVS EDUCATIVAS E NOVAS MIDIAS;201657021,49999967;175135711,71999997;168027515,24000016;204545018,83000016;158844590,87999994;125182250,47000001
2902;PLANEJAMENTO E FOMENTO AO DESENVOLVIMENTO REGIONAL;0,0;0,0;0,0;0,0;0;0
3701;EXPANSAO DO SISTEMA DE TRANSPORTE COLETIVO METROPOLITANO - PITU EM MARCHA;0,0;0,0;0;0;0;0
935;PRODUCAO DE IMUNOBIOLOGICOS, SOROS, HEMODERIVADOS E MEDICAMENTOS;5149616,59;3474255,7900000005;175354448,65000013;162860955,76999965;290057109,0600001;0
2308;FOMENTO AO EMPREENDEDORISMO;0;0;0;0;0;3974934,5299999993
2804;RECOMPOSICAO DO SERVICO PUBLICO E DA GESTAO DE PESSOAS;0,0;0,0;0,0;0;0;0
2003;CAPACITACAO PARA  SERVIDORES PUBLICOS;9909534,850000001;11325557,690000001;0,0;0;0;0
300;PROCESSO JUDICIARIO;0,0;0,0;0,0;0,0;0;0
2005;FOMENTO AO DESENVOLVIMENTO SOCIOECONOMICO;0;5000000,0;20000000,0;19364553,14;16000000,0;18750000,0
804;MELHORIA DA QUALIDADE DO ENSINO MEDIO;2328805869,21;2472781049,3100038;0,0;0,0;0,0;0
2309;OPORTUNIDADES PARA INSERCAO NO MERCADO DE TRABALHO;0;0;0;0;0;18931640,919999998
3503;ATENCAO A CRIANCA E AO ADOLESCENTE;0,0;0,0;0,0;0;0;0
2816;GOVERNO ELETRONICO II - TRANSACOES INTERNAS;0,0;0,0;0;0;0;0
3810;RACIONALIZACAO DO SISTEMA PRISIONAL;23293158,060000006;26067331,050000004;0,0;0;0;0
2800;GOVERNO ELETRONICO;0;0,0;0;0;0;0
815;MANUTENCAO E SUPORTE DA EDUCACAO BASICA;6831521706,449957;7536948211,4800005;5198890674,92001;5289515052,919978;4398307321,999995;3622210422,159992
3930;FORTALECIMENTO DAS COMPETENCIAS REGULADORAS DO ESTADO EM SANEAMENTO E ENERGIA;7044908,12;7743023,1999999955;0,0;0,0;0;0
1210;SAO PAULO : UM ESTADO DE LEITORES;0,0;0,0;0;0;0;0
4108;NOVOS RUMOS NOS VELHOS TRILHOS;6560039,250000007;8693160,240000015;0,0;0,0;0,0;0,0
2907;SISTEMA DE PLANEJAMENTO REGIONAL / METROPOLITANO;0,0;0,0;0,0;0,0;0,0;0,0
1819;SAO PAULO VIVENDO EM PAZ;0;0;9565980350,289951;9880488297,849932;11006896956,03995;0
4109;ESPORTE PAULISTA RUMO A 2016;45164090,98;63715891,52000001;65828506,85;72425295,67999999;121170573,00999999;0
102;OBRIGACOES PREVIDENCIARIAS EM COMPLEMENTACAO;120308549,69999993;137387914,84000003;1251425704,7600017;1370250091,6199992;1323129264,3700016;1482856420,230001
2910;QUALIDADE DE VIDA DOS POVOS INDIGENAS;0,0;0,0;0;0;0;0
4906;DESENVOLVIMENTO DE FONTES DE ENERGIA RENOVAVEL NO ESTADO;0;0;0;0;0;0,0
3813;GESTAO DA CUSTODIA E APOIO A REINTEGRACAO SOCIAL DA POPULACAO PENAL E EGRESSOS;0;0;0;2860702937,73978;3295758594,0891356;0
1605;GESTAO, OPERACAO E SEGURANCA DE RODOVIAS;115580176,11000004;131252223,32999997;530496990,51999974;544484790,69;561552097,7100002;678001422,7500002
2906;SISTEMA ESTADUAL DE PLANEJAMENTO E AVALIACAO;3222812,0400000005;3405494,9799999995;13335251,850000001;8178739,360000001;3955080,8900000006;5472360,340000003
1021;INOVACAO E TECNOLOGIA PARA POLITICAS PUBLICAS, ORGAOS GOVERNAMENTAIS E EMPRESAS;0;0;0;0;0;172159088,51999986
4906;ENERGIAS RENOVAVEIS;0;0;0;0,0;0,0;0
4700;GESTAO E IMPLEMENTACAO DA POLITICA DE INCLUSAO SOCIAL DA PESSOA COM DEFICIENCIA;25146847,58999999;20215178,24000001;26948980,400000025;61526950,91999996;132483831,17000017;99133819,19
2824;ARQUIVO DO ESTADO - MEMORIA E GESTAO DOCUMENTAL;39896096,57999999;21539398,819999993;5786297,13;4452657,790000002;3764518,6900000013;5582282,970000001
2908;SISTEMA ESTADUAL DE INFORMACOES GEOGRAFICAS E CARTOGRAFICAS;0,0;0,0;0;0;0;0
807;TECNOLOGIA DA INFORMACAO E COMUNICACAO NA EDUCACAO - TIC;98966976,87999998;124183311,09;116786837,17999999;287454596,64000016;0,0;0,0
928;ATENDIMENTO INTEGRAL E DE ALTA COMPLEXIDADE EM ASSISTENCIA MEDICA EM RIB. PRETO;279502065,5800001;299514910,7800003;0,0;0,0;0,0;0
1804;SINAL VERDE;222639560,57999998;265413277,89999998;0,0;0,0;0;0
2405;PROMOCAO DA CULTURA E LAZER;0,0;0,0;0,0;0;0;0
3517;PROTECAO SOCIAL;0;0;175359747,78000006;183075150,85999998;220662148,3599998;193011795,13999978
2818;GOVERNO ELETRONICO IV - INCLUSAO DIGITAL;0,0;0,0;0;0;0;0
4110;IMPLEMENTANDO A ATIVIDADE ESPORTIVA;6804325,130000001;9500,0;12668572,57;5214494,5200000005;19567491,01;265286,59
2814;CAPACITACAO EMPRESARIAL DA PRODESP;0,0;0,0;0;0;0;0
2825;ASSESSORAMENTO E COORDENACAO POLITICA DO GOVERNO;0;0;0;0;0;233632774,70999953
100;APOIO ADMINISTRATIVO;0;0;0;0;0;5131677618,140015
4414;SAUDE E QUALIDADE DE VIDA DO SERVIDOR;0;0;2478278,6399999997;10510890,590000002;3236672,64;3550089,519999999
1203;FORMACAO CULTURAL;146080458,41000006;145284071,07;30443101,259999998;30577679,800000004;112224295,66;97078707,99
2506;PRO-LAR;0,0;0,0;0,0;0,0;0;0
2602;EDUCACAO AMBIENTAL;1320397,2900000003;1512626,35;1201492,06;1214687,9800000002;1015997,99;647799,86
1709;REGULARIZACAO FUNDIARIA;503029,3599999998;574649,1699999997;0,0;0,0;0;0
2909;GESTAO EM PLANEJAMENTO E DESENVOLVIMENTO REGIONAL;91113510,98000005;67790579,32;75082341,96000004;139140031,91999993;126569289,73000015;0
2611;GESTAO DOS RECURSOS HIDRICOS;66816506,35;858287,4499999997;0,0;0,0;0,0;0
2916;SAO PAULO: TERRITORIO E CARTOGRAFIA;40586896,55999994;40673236,22999999;241601,15000000002;1780871,37;4958064,33;5088304,45
2303;LAZER DO TRABALHADOR;0,0;0;0;0;0;0
3806;GESTAO DO SISTEMA PRISIONAL;1774556142,6500146;1979935870,0600278;0,0;0,0;0,0;0
4802;FOMENTO AO DESENVOLVIMENTO SUSTENTAVEL DA MACROMETROPOLE PAULISTA;0;0;23699815,619999997;8800000,0;29420045,67;8416876,5
4412;GESTAO PARA RESULTADOS;0;0;1529561,0;53730,0;78056,0;0,0
1024;ENSINO PUBLICO TECNICO;735180680,2699984;869995891,4499997;0,0;0,0;0,0;0,0
940;GESTAO EM SAUDE;0;0;27096249,0;92370872,02999984;27151765,400000002;0
4804;PLANEJAMENTO E ARTICULACAO PARA DESENVOLVIMENTO SUSTENTAVEL DA MACROMETROPOLE;0;0;47026337,57000001;50380216,1299999;47208362,42000001;47859701,88999999
3515;REDE SOCIAL SAO PAULO;0;0;4069470,52;2723815,0900000003;1552788,7999999998;101781,0
1726;ASSISTENCIA AO ADOLESCENTE EM CONFLITO COM A LEI;0,0;0;0;0;0;0
4101;ESPORTE SOCIAL;0,0;0,0;0;0;0;0
2801;SALVANDO VIDAS - DEFESA CIVIL;14962886,679999992;8075360,940000001;7455639,449999999;5457188,380000001;10117796,239999996;8133756,010000002
1037;QUALIDADE DA ENGENHARIA E DA INFRAESTRUTURA PAULISTA;121787724,34;127900223,08999982;0,0;0,0;0,0;0
1218;FOMENTO CULTURAL E ECONOMIA CRIATIVA;0;0;8495694,2;13366424,39;6497318,3100000005;25130546,22
2815;GOVERNO ELETRONICO I - INFRA-ESTRUTURA;0,0;0,0;0,0;0,0;0,0;0
4301;ASSISTENCIA MEDICA, HOSPITALAR E AMBULATORIAL EM HOSPITAIS UNIVERSITARIOS;568261698,709998;534488839,9299987;0,0;0,0;0,0;0
2904;SISTEMA ESTADUAL DE ANALISE DE DADOS;0,0;0;0;0;0;0
936;FORNECIMENTO DE SANGUE, COMPONENTES E DERIVADOS;0;0;0;0;0;76220893,22000006
1723;MODERNIZACAO DO COMPLEXO BARRA FUNDA;0,0;0,0;0;0;0;0
3512;GESTAO DA POLITICA SOCIAL;656969,1000000001;0,0;1661668,1500000001;11151920,769999998;20696926,88;11060916,740000004
4403;GESTAO ESTRATEGICA DE PESSOAS;9606094,13;7457777,670000003;6044018,1;6507688,47;7947895,129999999;6074992,14
2806;CENTRO DE EXCELENCIA EM GESTAO PUBLICA;0,0;0;0;0;0;0
1301;GERACAO E TRANSFERENCIA DE CONHECIMENTO E TECNOLOGIAS PARA O AGRONEGOCIO;162446620,98999998;167194796,83;202237829,41999984;207951583,84000012;216388932,95000064;0
1215;PRESERVACAO DO PATRIMONIO CULTURAL;1996769,99;2140041,93;2693520,56;14630387,77;230961,0;4500,0
1703;PROGRAMA ESTADUAL DE DIREITOS HUMANOS;4890215,699999999;5542287,910000001;7811455,289999997;10035342,230000004;27682335,609999996;25988640,690000005
4907;FORTALECIMENTO DA INDUSTRIA DE PRODUCAO MINERAL PAULISTA;0;0;0;0;0;468903,15
1717;CONSTRUCAO AMP. REF. E ADAPT.  EDIF. FORENSES JUDICIARIO E  MINISTERIO PUBLICO;3752186,1600000006;7857713,840000001;0,0;0,0;0,0;0,0
4001;ADVOCACIA DO ESTADO;800000,0;800000,0;561083850,7499994;578741847,7199999;613899243,9;674185587,6200005
1603;REGULACAO E FISCALIZACAO DOS SERVICOS DE TRANSPORTES;131961995,35999998;130498022,48999994;244962420,46000004;177601853,85000014;151536793,34;141483632,16
1039;PROGRAMA ESTADUAL DE EDUCACAO PROFISSIONAL E TECNOLOGICA;0;0;1149010537,6300018;1407121906,1400023;1457655194,3500035;1646774382,6899972
1313;RISCO SANITARIO ZERO;4059814,92;526493,61;734203,73;0,0;0,0;0
1311;DEFESA AGROPECUARIA PARA PROTECAO AMBIENTAL, SAUDE PUBLICA E SEGURANCA ALIMENTAR;0;0;0;0;0;95261509,82000044
4002;ASSISTENCIA JUDICIARIA AOS LEGALMENTE NECESSITADOS;0,0;0,0;0,0;0;0;0
4907;PROGRAMA ESTADUAL DE MINERACAO;0;0;101473,0;172830,11;872844,44;0
1816;ATENDIMENTO DE SAUDE AOS POLICIAIS MILITARES;12592540,079999989;13035313,730000015;0,0;0,0;0;0
5002;FOMENTO AO DESENVOLVIMENTO DAS ESTANCIAS;0;0;142687964,10999998;37672384,11999999;73878587,25999998;0
939;ATENDIMENTO INTEGRAL E DE ALTA COMPLEXIDADE EM ASSISTENCIA MEDICA EM BOTUCATU;0;5399655,989999999;0,0;0,0;0;0
800;GESTAO PEDAGOGICA DA EDUCACAO BASICA;0;0;8760409068,889977;10271584853,430017;11854610923,05987;13369463847,810122
4407;TECNOLOGIA DA INFORMACAO E COMUNICACAO PARA EXCELENCIA DA GESTAO;415389290,4799997;480403003,96999985;58154102,44000004;60757746,750000015;83749680,84999992;78508554,50999992
4004;GESTAO DO CENTRO DE ESTUDOS;6371989,87;4538669,840000001;5640588,1899999995;6980311,67;7123069,279999998;0
942;GESTAO DA EDUCACAO E DO TRABALHO EM SAUDE;0;0;168191477,81999996;185500019,49999997;191736660,69000015;0
803;MELHORIA DA QUALIDADE DO ENSINO FUNDAMENTAL;5206937888,379986;5416500114,789974;0,0;0,0;0,0;0,0
1807;POLICIAMENTO OSTENSIVO;6626351835,859976;7689613885,939993;0,0;0,0;0,0;0
1213;GESTAO DE RECURSOS DA SECRETARIA DA CULTURA;36990336,89000001;37507521,859999985;83736035,78999999;130312885,30000003;52743505,470000036;0
1026;GESTAO DA POLITICA DE DESENVOLVIMENTO, CIENCIA, TECNOLOGIA E INOVACAO;6286411,7;6938908,0;10004427,0;11877291,0;13999049,98;16200000,0
1714;PERICIA JUDICIAL NA AREA DE MEDICINA LEGAL E DE INVESTIGACAO DE VINCULO GENETICO;0;0;0;0;0;16292730,98
2823;SISTEMA ESTADUAL DE CONTROLADORIA;523370,61;17802,59;11344,4;431775,34;98374,12000000002;18795,29
3708;EXPANSAO, MODERNIZACAO E OPERACAO DO TRANSPORTE METROVIARIO - PITU EM MARCHA;238306500,0;261148449,0;274519200,0;274895214,0;1050993845,6500001;1027525572,0199999
4903;GESTAO DO FORNECIMENTO E UTILIZACAO DE ENERGIA ELETRICA;0;0;1310131,0;826062,9400000001;500000,0;0
5003;DESENVOLVIMENTO E PROMOCAO DO TURISMO NO ESTADO;0;0;7613904,6899999995;8583830,249999996;11471175,049999997;7759033,989999997
1731;CIDADANIA NO CAMPO E NA CIDADE;0;0;0;0;0;59937169,570000015
933;CIENCIA, TECNOLOGIA E INOVACAO EM SAUDE;0;0;0;0;0;732808454,79
1701;INTEGRACAO DE SERVICOS NA AREA DA CIDADANIA;3197818,38;3864805,9299999997;0,0;0;0;0
814;EXPANSAO, MELHORIA E REFORMA DA REDE FISICA ESCOLAR E ADMINISTRATIVA;294058762,1699999;35951982,839999996;146776827,28999987;813498076,9899971;0,0;0,0
2601;CONTROLE DO USO DOS RECURSOS NATURAIS;0,0;0,0;0,0;0;0;0
2603;GESTAO, PESQUISA, CONSERVACAO E RECUPERACAO DOS RECURSOS NATURAIS;0,0;0,0;0,0;0;0;0
3931;GESTAO ADMINISTRATIVA EM SANEAMENTO E RECURSOS HIDRICOS;241746184,4199998;284185786,5500005;277713244,2700003;293412183,6500004;296704442,169999;340210488,3999998
4409;UM NOVO DETRAN PARA SAO PAULO;0;0;261184078,36999977;343063932,72999996;517158974,3399995;612226861,0299999
1814;MODERNIZACAO  E APERFEICOAMENTO DA POLICIA TECNICO-CIENTIFICA;301890058,52999985;334605623,6099999;373110457,7299999;412504339,9699996;452179427,2600004;456650301,7999995
813;INTEGRACAO E AVALIACAO DO SISTEMA EDUCACIONAL;13394838,66;14234299,96;34178176,34;31892098,8;51652422,239999995;5246609707,619999
3516;FAMILIA CIDADA - ACOES SOCIAIS INTEGRADAS;209571233,41;257408758,21;263021583,81;262708277,98;297539325,30999994;264727026,27999997
2308;EMPREENDEDORISMO;13298946,360000001;22828780,15;4089753,2899999996;3944705,520000001;4064950,0300000003;0
